Date,Year,Paddock,Territory,Nest_ID,Egg_ID,Length,Width,Female,Known_lay_order,Clutch_size,Clutch_size_certain,Picture_eggs,,Comments,,
4-Sep-08,2008,,,A,A1,52.99,36.62,,,,,,,,,
4-Sep-08,2008,,,A,A2,50.81,36.63,,,,,,,,,
7-Sep-08,2008,,,E,E1,51.53,36.69,,,,,,,GPS OF WRC,,
7-Sep-08,2008,,,E,E2,53.52,37.62,,,,,,,,,
7-Sep-08,2008,,,E,E3,51.22,36.98,,,,,,,,,
7-Sep-08,2008,,,E,E4,52.45,37.77,,,,,,,,,
7-Sep-08,2008,,,E,E5,51.59,37.10,,,,,,,,,
10-Sep-08,2008,,,G,G1,57.59,38.20,,,,,,,GPS OF PLG,,
10-Sep-08,2008,,,G,G2,53.98,38.83,,,,,,,,,
10-Sep-08,2008,,,G,G3,51.15,38.72,,,,,,,,,
10-Sep-08,2008,,,G,G4,54.81,38.12,,,,,,,,,
10-Sep-08,2008,,,G,G5,56.24,38.55,,,,,,,,,
10-Sep-08,2008,,,G,G6,51.63,39.28,,,,,,,,,
10-Sep-08,2008,,,G,G7,53.59,37.66,,,,,,,,,
10-Sep-08,2008,,,G,G8,55.95,37.86,,,,,,,,,
13-Sep-08,2008,,,H,H1,51.86,35.88,,,,,,,,,
13-Sep-08,2008,,,H,H2,53.00,35.41,,,,,,,,,
13-Sep-08,2008,,,H,H3,53.73,36.75,,,,,,,,,
13-Sep-08,2008,,,H,H4,53.08,36.55,,,,,,,,,
17-Sep-08,2008,,,H,H5,54.25,34.66,,5,,,,,,,
19-Sep-08,2008,SY,SY N,J,J1,53.96,36.24,,,,,,,SWABBED,,
19-Sep-08,2008,SY,SY N,J,J2,55.00,35.72,,,,,,,SWABBED,,
19-Sep-08,2008,SY,SY N,J,J3,56.12,36.14,,,,,,,,,
19-Sep-08,2008,SY,SY N,J,J4,53.16,35.63,,,,,,,,,
19-Sep-08,2008,SY,SY N,J,J5,53.72,35.66,,,,,,,,,
19-Sep-08,2008,HAYTER'S ,HAYTER'S WL N,K,K1,51.70,35.77,,,,,,,,,
19-Sep-08,2008,HAYTER'S ,HAYTER'S WL N,K,K2,52.47,35.79,,,,,,,,,
19-Sep-08,2008,HAYTER'S ,HAYTER'S WL N,K,K3,52.94,36.26,,,,,,,,,
19-Sep-08,2008,HAYTER'S ,HAYTER'S WL N,K,K4,50.61,34.25,,,,,,,,,
19-Sep-08,2008,HAYTER'S ,HAYTER'S WL N,K,K5,55.62,35.79,,,,,,,,,
19-Sep-08,2008,HAYTER'S ,HAYTER'S WL N,K,K6,52.80,35.80,,,,,,,,,
22-Sep-08,2008,NPB,NPB E,O,O1,50.36,37.69,,,,,,,,,
